DateTime,Game,Viewer Figure
2023-08-01 09:16:11,Mahjong Soul,4.2K

2023-08-01 09:28:59,Minecraft,71K
2023-08-01 09:28:59,BeamNG.drive,34K
2023-08-01 09:28:59,Battlegrounds Mobile India,24K
2023-08-01 09:28:59,RTP Slot Pragmatic,19K
2023-08-01 09:28:59,Grand Theft Auto V,18K
2023-08-01 09:28:59,League of Legends,17K
2023-08-01 09:28:59,Mobile Legends: Bang Bang,14K
2023-08-01 09:28:59,Garena Free Fire,11K
2023-08-01 09:28:59,Roblox,9.3K
2023-08-01 09:28:59,PUBG Mobile,8K
2023-08-01 09:28:59,Apex Legends,7.4K
2023-08-01 09:28:59,Soma,6.1K
2023-08-01 09:28:59,Fortnite,5.1K
2023-08-01 09:28:59,Pikmin 4,4.9K
2023-08-01 09:28:59,Dota 2,4.9K
2023-08-01 09:28:59,Mahjong Soul,4.3K

